"dateTime,""value""";;Time;Value;
9/01/2021;;16:18:49;104;confidence:1}
9/01/2021;;16:18:54;102;confidence:1}
9/01/2021;;16:18:59;103;confidence:1}
9/01/2021;;16:19:04;101;confidence:1}
9/01/2021;;16:19:09;98;confidence:1}
9/01/2021;;16:19:14;99;confidence:1}
9/01/2021;;16:19:19;98;confidence:1}
9/01/2021;;16:19:24;99;confidence:1}
9/01/2021;;16:19:29;101;confidence:1}
9/01/2021;;16:19:34;101;confidence:2}
9/01/2021;;16:19:44;102;confidence:2}
9/01/2021;;16:19:54;101;confidence:1}
9/01/2021;;16:19:59;100;confidence:1}
9/01/2021;;16:20:04;99;confidence:1}
9/01/2021;;16:20:19;101;confidence:1}
9/01/2021;;16:20:29;102;confidence:1}
9/01/2021;;16:20:34;100;confidence:1}
9/01/2021;;16:20:39;95;confidence:1}
9/01/2021;;16:20:44;94;confidence:1}
9/01/2021;;16:20:49;93;confidence:1}
9/01/2021;;16:20:54;94;confidence:1}
9/01/2021;;16:20:59;96;confidence:1}
9/01/2021;;16:21:04;97;confidence:1}
9/01/2021;;16:21:09;101;confidence:1}
9/01/2021;;16:21:14;104;confidence:1}
9/01/2021;;16:21:19;107;confidence:1}
9/01/2021;;16:21:24;101;confidence:1}
9/01/2021;;16:21:29;97;confidence:1}
9/01/2021;;16:21:34;93;confidence:1}
9/01/2021;;16:21:39;91;confidence:1}
9/01/2021;;16:21:44;89;confidence:1}
9/01/2021;;16:21:49;85;confidence:1}
9/01/2021;;16:21:54;84;confidence:1}
9/01/2021;;16:22:04;85;confidence:1}
9/01/2021;;16:22:09;83;confidence:2}
9/01/2021;;16:22:14;82;confidence:2}
9/01/2021;;16:22:19;80;confidence:2}
9/01/2021;;16:22:24;83;confidence:1}
9/01/2021;;16:22:34;82;confidence:2}
9/01/2021;;16:22:39;80;confidence:3}
9/01/2021;;16:22:44;78;confidence:3}
9/01/2021;;16:22:49;77;confidence:3}
