"dateTime","value"
"09-02-2021 19:29:09","{""bpm"":86,""confidence"":1}"
"09-02-2021 19:29:14","{""bpm"":85,""confidence"":1}"
"09-02-2021 19:29:19","{""bpm"":86,""confidence"":1}"
"09-02-2021 19:29:24","{""bpm"":85,""confidence"":1}"
"09-02-2021 19:29:29","{""bpm"":86,""confidence"":1}"
"09-02-2021 19:29:34","{""bpm"":87,""confidence"":1}"
"09-02-2021 19:29:39","{""bpm"":88,""confidence"":1}"
"09-02-2021 19:29:44","{""bpm"":87,""confidence"":1}"
"09-02-2021 19:29:59","{""bpm"":87,""confidence"":1}"
"09-02-2021 19:30:09","{""bpm"":88,""confidence"":1}"
"09-02-2021 19:30:14","{""bpm"":82,""confidence"":2}"
"09-02-2021 19:30:19","{""bpm"":84,""confidence"":2}"
"09-02-2021 19:30:24","{""bpm"":79,""confidence"":1}"
"09-02-2021 19:30:29","{""bpm"":71,""confidence"":2}"
"09-02-2021 19:30:34","{""bpm"":70,""confidence"":2}"
"09-02-2021 19:30:39","{""bpm"":66,""confidence"":2}"
"09-02-2021 19:30:44","{""bpm"":62,""confidence"":2}"
"09-02-2021 19:30:49","{""bpm"":64,""confidence"":2}"
"09-02-2021 19:30:54","{""bpm"":65,""confidence"":1}"
"09-02-2021 19:31:04","{""bpm"":66,""confidence"":1}"
"09-02-2021 19:31:09","{""bpm"":68,""confidence"":1}"
"09-02-2021 19:31:14","{""bpm"":69,""confidence"":1}"
"09-02-2021 19:31:24","{""bpm"":70,""confidence"":1}"
"09-02-2021 19:31:29","{""bpm"":71,""confidence"":1}"
"09-02-2021 19:31:44","{""bpm"":73,""confidence"":1}"
"09-02-2021 19:31:49","{""bpm"":76,""confidence"":1}"
"09-02-2021 19:31:54","{""bpm"":78,""confidence"":1}"
"09-02-2021 19:32:09","{""bpm"":80,""confidence"":1}"
"09-02-2021 19:32:14","{""bpm"":83,""confidence"":1}"
"09-02-2021 19:32:19","{""bpm"":82,""confidence"":1}"
"09-02-2021 19:32:24","{""bpm"":84,""confidence"":1}"
"09-02-2021 19:32:39","{""bpm"":86,""confidence"":1}"
