dateTime;value;bpm;confidence;;hora gtm
08-18-2021;19:23:02;71;3};;
08-18-2021;19:23:07;70;2};;
08-18-2021;19:23:12;68;3};;
08-18-2021;19:23:17;66;3};;
08-18-2021;19:23:22;67;1};;
08-18-2021;19:23:32;66;1};;
08-18-2021;19:23:37;66;2};;
08-18-2021;19:23:47;66;1};;
08-18-2021;19:23:52;67;1};;
08-18-2021;19:23:57;68;1};;
08-18-2021;19:24:02;71;1};;
08-18-2021;19:24:07;77;1};;
08-18-2021;19:24:12;79;1};;
08-18-2021;19:24:17;80;1};;
08-18-2021;19:24:22;82;1};;
08-18-2021;19:24:27;84;1};;
08-18-2021;19:24:32;80;1};;
08-18-2021;19:24:37;77;1};;
08-18-2021;19:24:42;75;1};;
08-18-2021;19:24:47;78;1};;
08-18-2021;19:24:52;80;1};;
08-18-2021;19:25:02;82;1};;
08-18-2021;19:25:07;83;1};;
08-18-2021;19:25:12;80;1};;
08-18-2021;19:25:17;82;1};;
08-18-2021;19:25:22;75;1};;
08-18-2021;19:25:27;77;1};;
08-18-2021;19:25:32;76;1};;
08-18-2021;19:25:37;73;1};;
08-18-2021;19:25:42;72;1};;
08-18-2021;19:25:47;70;1};;
08-18-2021;19:25:57;69;1};;
08-18-2021;19:26:02;70;1};;
08-18-2021;19:26:07;74;1};;
08-18-2021;19:26:12;71;2};;
08-18-2021;19:26:17;69;2};;
08-18-2021;19:26:27;71;2};;
08-18-2021;19:26:32;71;1};;
08-18-2021;19:26:42;72;1};;
08-18-2021;19:26:47;71;1};;
08-18-2021;19:26:52;69;1};;
08-18-2021;19:26:57;65;1};;
08-18-2021;19:27:07;66;1};;
08-18-2021;19:27:12;68;2};;
08-18-2021;19:27:22;70;1};;
08-18-2021;19:27:27;72;1};;
08-18-2021;19:27:32;75;1};;
08-18-2021;19:27:37;74;1};;
08-18-2021;19:27:47;72;1};;
08-18-2021;19:27:52;75;1};;
08-18-2021;19:27:57;78;1};;
08-18-2021;19:28:02;77;2};;
08-18-2021;19:28:07;74;2};;
08-18-2021;19:28:12;71;1};;
08-18-2021;19:28:17;61;1};;
08-18-2021;19:28:27;63;1};;
08-18-2021;19:28:32;68;1};;
08-18-2021;19:28:37;74;1};;
08-18-2021;19:28:42;73;1};;
08-18-2021;19:28:47;69;1};;
08-18-2021;19:28:52;64;1};;
08-18-2021;19:28:57;63;1};;
08-18-2021;19:29:12;63;1};;
08-18-2021;19:29:17;65;1};;
08-18-2021;19:29:22;66;1};;
08-18-2021;19:29:27;67;1};;
08-18-2021;19:29:32;70;1};;
08-18-2021;19:29:37;67;2};;
08-18-2021;19:29:42;67;1};;
08-18-2021;19:29:47;66;2};;
08-18-2021;19:29:52;67;3};;
08-18-2021;19:29:57;68;2};;
08-18-2021;19:30:12;67;3};;
08-18-2021;19:30:17;66;3};;
08-18-2021;19:30:27;67;3};;
08-18-2021;19:30:32;66;3};;
08-18-2021;19:30:37;66;2};;
08-18-2021;19:30:42;67;2};;
08-18-2021;19:30:47;70;3};;
08-18-2021;19:30:52;71;3};;
08-18-2021;19:30:57;72;3};;
08-18-2021;19:31:02;74;3};;
08-18-2021;19:31:12;70;2};;
08-18-2021;19:31:17;69;1};;
08-18-2021;19:31:22;68;3};;
08-18-2021;19:31:27;67;2};;
08-18-2021;19:31:32;68;3};;
08-18-2021;19:31:37;65;1};;
08-18-2021;19:31:42;64;1};;
08-18-2021;19:31:47;66;1};;
08-18-2021;19:31:52;71;1};;
08-18-2021;19:31:57;78;1};;
08-18-2021;19:32:02;79;1};;
08-18-2021;19:32:07;80;1};;
08-18-2021;19:32:12;70;1};;
08-18-2021;19:32:17;67;1};;
08-18-2021;19:32:22;65;1};;
08-18-2021;19:32:27;64;2};;
08-18-2021;19:32:32;66;2};;
08-18-2021;19:32:37;69;3};;
08-18-2021;19:32:47;70;3};;
08-18-2021;19:32:52;70;2};;
08-18-2021;19:32:59;71;0};;
08-18-2021;19:33:04;72;0};;
08-18-2021;19:33:14;71;1};;
08-18-2021;19:33:19;68;1};;
08-18-2021;19:33:24;67;3};;
08-18-2021;19:33:29;68;1};;
08-18-2021;19:33:34;69;1};;
08-18-2021;19:33:49;66;1};;
08-18-2021;19:33:54;67;1};;
08-18-2021;19:33:59;68;1};;
08-18-2021;19:34:09;69;1};;
08-18-2021;19:34:19;71;1};;
08-18-2021;19:34:24;66;3};;
08-18-2021;19:34:29;64;2};;
08-18-2021;19:34:34;61;3};;
08-18-2021;19:34:44;61;2};;
08-18-2021;19:34:49;61;1};;
08-18-2021;19:34:54;62;1};;
08-18-2021;19:34:59;65;1};;
08-18-2021;19:35:09;66;1};;
08-18-2021;19:35:14;64;1};;
08-18-2021;19:35:29;67;1};;
08-18-2021;19:35:34;68;1};;
08-18-2021;19:35:39;67;1};;
08-18-2021;19:35:54;67;1};;
08-18-2021;19:35:59;66;3};;
08-18-2021;19:36:04;65;2};;
08-18-2021;19:36:09;63;3};;
08-18-2021;19:36:19;66;3};;
08-18-2021;19:36:24;68;3};;
08-18-2021;19:36:29;67;3};;
08-18-2021;19:36:34;68;3};;
08-18-2021;19:36:39;66;2};;
08-18-2021;19:36:44;65;2};;
08-18-2021;19:36:54;66;3};;
08-18-2021;19:36:59;68;3};;
08-18-2021;19:37:04;69;2};;
08-18-2021;19:37:09;69;1};;
08-18-2021;19:37:14;70;1};;
08-18-2021;19:37:19;72;1};;
08-18-2021;19:37:24;74;1};;
08-18-2021;19:37:29;73;1};;
08-18-2021;19:37:34;74;1};;
08-18-2021;19:37:39;75;1};;
08-18-2021;19:37:44;76;1};;
08-18-2021;19:37:49;77;1};;
08-18-2021;19:37:59;76;1};;
08-18-2021;19:38:09;77;1};;
08-18-2021;19:38:24;76;1};;
08-18-2021;19:38:29;76;2};;
08-18-2021;19:38:39;75;2};;
08-18-2021;19:38:44;69;3};;
08-18-2021;19:38:49;63;1};;
08-18-2021;19:38:54;64;1};;
